Executable,BatchKeyPath,MRUPosition,BatchValueName,OpenedOn
MRCv120.exe,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,0,1,2025-02-07 12:21:27.5108105
mmc.exe,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,1,0,
