Extension,BatchKeyPath,ValueName,BatchValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
RecentDocs,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,0,0,W7-MRC.raw,W7-MRC.raw.lnk,0,2025-02-07 12:21:27.5576106,2025-02-07 12:21:27.5576106
.raw,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.raw,0,0,W7-MRC.raw,W7-MRC.raw.lnk,0,2025-02-07 12:21:27.5576106,
.raw,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.raw,0,0,W7-MRC.raw,W7-MRC.raw.lnk,0,2025-02-07 12:21:27.5576106,
