FirstNetwork,BatchKeyPath,NetworkName,BatchValueName,NameType,FirstConnectLOCAL,LastConnectedLOCAL,Managed,DNSSuffix,GatewayMacAddress,ProfileGUID
Network,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{B992D343-7F0C-4551-AB6B-1D3B8514B4C4},Network,Multiple,Wired,2025-01-14 22:19:05.0900000,2025-01-14 22:20:36.8220000,False,localdomain,00-50-56-E2-A5-12,{B992D343-7F0C-4551-AB6B-1D3B8514B4C4}
Network  2,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{D9924B3A-C80C-4681-B155-8760ADDC5445},Network  2,Multiple,Wired,2025-02-07 19:22:10.4980000,2025-02-07 20:13:57.2200000,False,localdomain,00-50-56-F7-E3-1A,{D9924B3A-C80C-4681-B155-8760ADDC5445}
