Path,BatchKeyPath,BatchValueName
C:\Users\victim machine\Desktop\Exterro_FTK_Imager_(x64)-4.7.3.81.exe,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\victim machine\Desktop\AccessData_FTK_Imager_4.7.1.exe,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
