Timestamp,Description,Data_Source
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
2009-07-14 04:53:26.154818700,artifacts\registry.0xfffff8a00165c010.SOFTWARE.reg,Registry
